districts/city,assault_on_women_with_intent_to_outrage_her_modesty_-_incidents_(i),assault_on_women_with_intent_to_outrage_her_modesty_-_victims_(v),assault_on_women_with_intent_to_outrage_her_modesty_-_r_(crime_rate),assault_on_women_-_i,assault_on_women_-_v,assault_on_women_-_r,sexual_harrassment_total_-_i,sexual_harrassment_total_-_v,sexual_harrassment_total_-_r,sh_at_work/premises_-_i,sh_at_work/premises_-_v,sh_at_work/premises_-_r,sh_in_public_transport_-_i,sh_in_public_transport_-_v,sh_in_public_transport_-_r,sh_in_shelter_homes_for_women_and_children_-_i,sh_in_shelter_homes_for_women_and_children_-_v,sh_in_shelter_homes_for_women_and_children_-_r,sh_in_other_places_-_i,sh_in_other_places_-_v,sh_in_other_places_-_r,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_(sec.354b_ipc)_-_i,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_(sec.354b_ipc)_-_v,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_(sec.354b_ipc)_-_r,voyeurism_-_i,voyeurism_-_v,voyeurism_-_r,stalking_-_i,stalking_-_v,stalking_-_r,rape_(sec_376)_-_i,rape_-_v,rape_-_r,attempt_to_commit_rape_(sec.376/511)_-_i,attempt_to_commit_rape_-_v,attempt_to_commit_rape_-_r,total_crime_incidents,severity_score,risk_level,total_crime_rate
Ariyalur,5,5,1.2,2,2,0.5,1,1,0.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,1,1,0.2,1,1,0.2,10,10,2.5,0,0,0.0,20,80,Low,5.0
Chennai,166,167,5.5,94,94,3.1,23,23,0.8,1,1,0.0,0,0,0.0,0,0,0.0,22,22,0.7,7,7,0.2,5,6,0.2,37,37,1.2,20,20,0.7,2,2,0.1,354,1177,High,12.499999999999996
Coimbatore,13,13,1.0,13,13,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,0,0,0.0,31,116,Low,2.4
Coimbatore City,23,23,4.1,22,22,3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,6,6,1.1,0,0,0.0,52,190,Medium,9.299999999999999
Cuddalore,50,50,3.6,6,6,0.4,12,12,0.9,0,0,0.0,12,12,0.9,0,0,0.0,0,0,0.0,12,12,0.9,10,10,0.7,10,10,0.7,13,13,0.9,0,0,0.0,113,361,High,9.000000000000002
Dharmapuri,26,26,3.2,16,16,2.0,6,6,0.7,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.7,2,2,0.2,0,0,0.0,2,2,0.2,10,10,1.2,1,1,0.1,63,222,Medium,8.3
Dindigul,33,33,2.9,11,11,1.0,21,21,1.8,0,0,0.0,0,0,0.0,0,0,0.0,21,21,1.8,0,0,0.0,1,1,0.1,0,0,0.0,9,9,0.8,0,0,0.0,75,232,Medium,8.4
Erode,22,22,1.8,22,22,1.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.2,0,0,0.0,47,169,Medium,3.8000000000000003
Kanchipuram,9,9,1.9,2,2,0.4,7,7,1.4,0,0,0.0,0,0,0.0,0,0,0.0,7,7,1.4,0,0,0.0,0,0,0.0,0,0,0.0,5,5,1.0,1,1,0.2,24,78,Low,6.3
Kanyakumari,11,11,1.1,11,11,1.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.3,0,0,0.0,25,92,Low,2.5
Karur,3,3,0.5,3,3,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.9,1,1,0.2,12,50,Low,2.1
Krishnagiri,29,29,2.9,24,24,2.4,5,5,0.5,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.5,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.6,2,2,0.2,66,231,Medium,7.1
Madurai,51,51,4.7,39,39,3.6,8,8,0.7,1,1,0.1,0,0,0.0,0,0,0.0,7,7,0.6,1,1,0.1,3,3,0.3,0,0,0.0,14,14,1.3,5,5,0.5,121,425,High,11.9
Madurai City,44,44,8.1,3,3,0.6,41,41,7.5,0,0,0.0,0,0,0.0,0,0,0.0,41,41,7.5,0,0,0.0,0,0,0.0,0,0,0.0,14,14,2.6,0,0,0.0,102,296,High,26.3
Nagapattinam,22,22,5.9,15,15,4.0,4,4,1.1,0,0,0.0,0,0,0.0,0,0,0.0,4,4,1.1,1,1,0.3,0,0,0.0,2,2,0.5,7,7,1.9,3,3,0.8,54,191,Medium,15.600000000000001
Namakkal,33,33,3.6,33,33,3.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.3,0,0,0.0,69,246,Medium,7.5
Nilgiris,9,9,2.3,9,9,2.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,18,63,Low,4.6
Perambalur,72,72,23.8,65,65,21.5,5,5,1.7,0,0,0.0,0,0,0.0,0,0,0.0,5,5,1.7,1,1,0.3,1,1,0.3,0,0,0.0,7,7,2.3,2,2,0.7,153,535,High,52.3
Pudukottai,36,55,4.2,36,55,4.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.9,0,0,0.0,80,292,High,9.3
Ramnathapuram,18,18,2.5,18,18,2.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,1.2,4,4,0.6,49,187,Medium,6.8
